Unlimited জিবি + ১৯০০ মিনিট | ৩০ দিন | ১০৬২ টাকা
৩০ জিবি + ৬০০ মিনিট | ৩০ দিন | ৬৮৮ টাকা
৩০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৬৬৯ টাকা
৩০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৬৫৯ টাকা
৩০ জিবি + ৩৫০ মিনিট | ৩০ দিন | ৬৫৭ টাকা
৩০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৬৫২ টাকা
৩০ জিবি + ২৫০ মিনিট | ৩০ দিন | ৬৪২ টাকা
৩০ জিবি + ২০০ মিনিট | ৩০ দিন | ৬৩৩ টাকা
৩০ জিবি + ১৫০ মিনিট | ৩০ দিন | ৬২৩ টাকা
৩০ জিবি + ১০০ মিনিট | ৩০ দিন | ৬০৯ টাকা
২৫ জিবি + ১০০০ মিনিট | ৩০ দিন | ৭৪০ টাকা
২৫ জিবি + ৭৫০ মিনিট | ৩০ দিন | ৬৭৮ টাকা
২৫ জিবি + ৬০০ মিনিট | ৩০ দিন | ৬৬২ টাকা
২৫ জিবি + ৫০০ মিনিট | ৩০ দিন | ৬৩৮ টাকা
২৫ জিবি + ৪০০ মিনিট | ৩০ দিন | ৬২৮ টাকা
২৫ জিবি + ৩৫০ মিনিট | ৩০ দিন | ৬২৩ টাকা
২৫ জিবি + ৩০০ মিনিট | ৩০ দিন | ৬১৯ টাকা
২৫ জিবি + ২৫০ মিনিট | ৩০ দিন | ৬০৯ টাকা
২৫ জিবি + ২০০ মিনিট | ৩০ দিন | ৫৯৯ টাকা
২৫ জিবি + ১৫০ মিনিট | ৩০ দিন | ৫৮৬ টাকা
২৫ জিবি + ১০০ মিনিট | ৩০ দিন | ৫৭১ টাকা
২০ জিবি + ১০০০ মিনিট | ৩০ দিন | ৭৩১ টাকা
২০ জিবি + ৭৫০ মিনিট | ৩০ দিন | ৬৪২ টাকা
২০ জিবি + ৬০০ মিনিট | ৩০ দিন | ৬১৯ টাকা
২০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৫৯৪ টাকা
২০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৫৮৬ টাকা
২০ জিবি + ৩৫০ মিনিট | ৩০ দিন | ৫৭৬ টাকা
২০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৫৭৩ টাকা
২০ জিবি + ২৫০ মিনিট | ৩০ দিন | ৫৬৮ টাকা
২০ জিবি + ২০০ মিনিট | ৩০ দিন | ৫৫৮ টাকা
২০ জিবি + ১৫০ মিনিট | ৩০ দিন | ৫৪৪ টাকা
২০ জিবি + ১০০ মিনিট | ৩০ দিন | ৫২৯ টাকা
১৫ জিবি + ১০০০ মিনিট | ৩০ দিন | ৭১৩ টাকা
১৫ জিবি + ৭৫০ মিনিট | ৩০ দিন | ৬১৮ টাকা
১৫ জিবি + ৬০০ মিনিট | ৩০ দিন | ৫৫৮ টাকা
১৫ জিবি + ৫০০ মিনিট | ৩০ দিন | ৫৩৪ টাকা
১৫ জিবি + ৪০০ মিনিট | ৩০ দিন | ৫২৪ টাকা
১৫ জিবি + ৩৫০ মিনিট | ৩০ দিন | ৫১৪ টাকা
১৫ জিবি + ৩০০ মিনিট | ৩০ দিন | ৫১০ টাকা
১৫ জিবি + ২৫০ মিনিট | ৩০ দিন | ৫০০ টাকা
১৫ জিবি + ২০০ মিনিট | ৩০ দিন | ৪৯১ টাকা
১৫ জিবি + ১৫০ মিনিট | ৩০ দিন | ৪৮৩ টাকা
১৫ জিবি + ১০০ মিনিট | ৩০ দিন | ৪৬৮ টাকা
১০ জিবি + ১০০০ মিনিট | ৩০ দিন | ৭৩৯ টাকা
১০ জিবি + ৭৫০ মিনিট | ৩০ দিন | ৬০৪ টাকা
১০ জিবি + ৬০০ মিনিট | ৩০ দিন | ৫২৯ টাকা
১০ জিবি + ৫০০ মিনিট | ৩০ দিন | ৪৯৫ টাকা
